model,temperature,top_p,frequency_penalty,presence_penalty,prompt,calls_per_cue,num_cues,hash,jaccard,recall10,ent_gap
gpt-4.1-nano,1.1,1.0,0.0,0.6,human_json,10,5,21765caa,0.044,1.0,0.6776
gpt-4.1-nano,0.7,1.0,0.3,0.0,chatml_func,5,5,24bcbf41,0.0483,1.0,1.0129
gpt-4.1-nano,1.1,1.0,0.0,0.0,chatml_func,10,5,25306c9b,0.0479,1.0,1.6266
gpt-4.1-nano,0.7,0.95,0.3,0.6,human_json,1,5,26170362,0.0677,1.0,4.1086
gpt-4.1-nano,1.5,1.0,0.0,0.0,human_json,1,5,287e4e9c,0.0608,1.0,2.7579
gpt-4.1-nano,0.7,0.95,0.3,0.0,chatml_func,10,5,2c4a8615,0.0401,1.0,0.6532
gpt-4.1-nano,1.5,0.95,0.0,0.0,human_json,5,5,2d56d2bb,0.0564,1.0,1.7475
gpt-4.1-nano,1.5,1.0,0.0,0.6,human_json,10,5,2eab6178,0.0367,1.0,0.8204
gpt-4.1-nano,1.1,0.95,0.3,0.6,human_json,1,5,33c9fb42,0.0742,1.0,2.9204
gpt-4.1-nano,1.1,1.0,0.0,0.6,chatml_func,10,5,34410b60,0.0318,1.0,1.5982
gpt-4.1-nano,1.1,0.95,0.3,0.0,chatml_func,10,5,36a18084,0.0419,1.0,0.8367
gpt-4.1-nano,1.1,1.0,0.0,0.6,chatml_func,5,5,36b5538a,0.0482,1.0,1.7523
gpt-4.1-nano,1.5,1.0,0.3,0.0,human_json,10,5,375b148e,0.04,1.0,0.6853
gpt-4.1-nano,0.7,1.0,0.0,0.0,chatml_func,10,5,37cf948d,0.0498,0.8,0.8047
gpt-4.1-nano,1.5,0.95,0.3,0.0,chatml_func,5,5,385e9b17,0.0303,1.0,1.1766
gpt-4.1-nano,0.7,1.0,0.3,0.0,chatml_func,1,5,3b8d2f85,0.072,1.0,3.2721
gpt-4.1-nano,1.1,0.95,0.0,0.6,human_json,10,5,3c406ce0,0.0568,1.0,1.443
gpt-4.1-nano,0.7,0.95,0.3,0.6,chatml_func,10,5,3ee7f392,0.0404,1.0,1.139
gpt-4.1-nano,0.7,0.95,0.0,0.6,human_json,10,5,3fc826ea,0.0613,1.0,2.7404
gpt-4.1-nano,1.1,0.95,0.0,0.0,human_json,5,5,4126ab5e,0.0524,1.0,2.7556
gpt-4.1-nano,1.5,0.95,0.0,0.0,chatml_func,5,5,43c04f38,0.0493,1.0,1.0758
gpt-4.1-nano,1.5,1.0,0.3,0.0,human_json,1,5,44cc44e0,0.0569,1.0,2.8397
gpt-4.1-nano,1.1,0.95,0.0,0.0,chatml_func,5,5,477deff1,0.0485,1.0,1.2135
gpt-4.1-nano,1.1,0.95,0.0,0.6,human_json,5,5,4802a80d,0.047,1.0,1.7985
gpt-4.1-nano,1.1,1.0,0.3,0.6,chatml_func,1,5,4a8edb7a,0.0821,1.0,3.03
gpt-4.1-nano,1.1,0.95,0.3,0.6,chatml_func,5,5,4aaa0f55,0.0583,1.0,1.3698
gpt-4.1-nano,1.1,0.95,0.0,0.6,human_json,1,5,4b5cc272,0.0878,1.0,3.1114
gpt-4.1-nano,1.1,1.0,0.3,0.6,chatml_func,5,5,4d7234b0,0.0417,1.0,1.1353
gpt-4.1-nano,1.5,1.0,0.0,0.0,human_json,10,5,4e9406af,0.0397,1.0,1.6919
gpt-4.1-nano,1.1,0.95,0.3,0.6,human_json,5,5,4ec7a2ec,0.0456,1.0,1.1403
gpt-4.1-nano,0.7,0.95,0.0,0.0,chatml_func,5,5,51e62bc9,0.0425,1.0,1.8934
gpt-4.1-nano,1.1,0.95,0.3,0.0,human_json,10,5,54af6413,0.048,1.0,1.2475
gpt-4.1-nano,0.7,0.95,0.3,0.0,chatml_func,1,5,54b12487,0.062,1.0,3.7981
